OTU ID	HSD.1.2	HSD.1.6	HSD.1.9	HSD.2.10	HSD.2.3	HSD.2.4	HSD.3.10	HSD.3.2	HSD.3.9	HSD.5.1	HSD.5.2	HSD.5.7	HSD.R4.10	HSD.R4.4	HSD.R4.5	NSD.1.3	NSD.1.4	NSD.1.9	NSD.2.3	NSD.2.5	NSD.2.6	NSD.3.1	NSD.3.10	NSD.3.3	NSD.4.1	NSD.4.6	NSD.4.8	NSD.5.10	NSD.5.6	NSD.HSD.1.10	NSD.HSD.1.4	NSD.HSD.2.10	NSD.HSD.2.2	NSD.HSD.2.3	NSD.HSD.3.4	NSD.HSD.3.6	NSD.HSD.3.8	NSD.HSD.4.1	NSD.HSD.4.3	NSD.HSD.4.4	NSD.HSD.5.4	NSD.HSD.5.5	NSD.HSD.5.6	NSD.NSD.1.1	NSD.NSD.1.2	NSD.NSD.1.5	NSD.NSD.2.2	NSD.NSD.2.5	NSD.NSD.2.6	NSD.NSD.3.1	NSD.NSD.3.4	NSD.NSD.3.7	NSD.NSD.4.2	NSD.NSD.4.3	NSD.NSD.4.7	NSD.NSD.5.4	NSD.NSD.5.6	NSD.NSD.5.8
2b234f33fc44075161fc8be80fb87faa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158047793652801	0	0	0	0	0	0	0	0	0.020069037488962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0260994388620645	0
c7eef51ffeeaf6f6b64e73545babcab8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171811383554119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00281582564407612	0	0	0	0	0
3522f865a13250fb9ae82ab349215e42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153616573033708	0	0	0	0	0.0096405276327589	0	0	0	0	0.0133042413921558	0	0.0158730158730159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183908612378722	0	0	0	0	0
edba123213f9cb766bcf6d5824be1ee3	0	0	0	0	0	0	0.00244763802930172	0	0	0	0.00152965425989591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141183470440971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3f6f6959ad343f48ea2616b9921fca4	0	0	0	0	0	0	0	0	0	0	0	0.0126574267451427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6c97defabf33ca153fe0a8d89169b1db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256535235114543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87971ab26b34334e8a63f44cf91f48df	0.0520969002344361	0.0423869374516236	0	0.0141610966353234	0	0.062722040812418	0.00314696318053079	0.0038550501156515	0	0.0154398577949508	0	0.0253148534902854	0	0	0	0	0.0175561797752809	0.0244768082242076	0	0	0	0	0	0	0	0	0	0	0	0.00618658747834694	0.00641007378707159	0	0	0.0298529398256588	0.0186563871654141	0	0.0347261594285066	0	0	0.00465644731695506	0	0.022339504621485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0b6298a0a3ef0538ae3f3635b3a3afc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0212921279961066	0	0	0	0	0	0	0
f45551bf7bff899f56aa46fd5f4f1221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0226210224702157	0	0	0	0	0	0	0	0	0	0	0
785fe2450135ee024618c3e4f734c92f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147948691393825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070395641101903	0	0	0	0	0
a6687d1800e6cb6b506828f50d5027d7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0451875282422052	0	0
1cb384fa04f44827dae3967aad0121f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0568972057150082	0	0	0	0	0	0	0	0	0.0401380749779241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b75a5884989d17f8424b7c08ee28f09c	0	0	0	0	0	0.261900429957196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
